dia,uso_disco_gb
363,258.5
364,375.57
365,441.92
366,193.04
367,336.34
368,288.48
369,308.36
370,109.9
371,292.55
372,401.17
373,619.37
374,507.45
375,780.65
376,113.9
377,488.93
378,331.99
379,790.82
380,106.34
381,99.61
382,154.97
383,10.0
384,172.69
385,119.82
386,328.06
387,372.23
388,723.22
389,512.18
390,163.7
391,90.7
392,408.78
393,10.0
394,715.7
395,567.2
396,191.02
397,10.0
398,608.4
399,273.38
400,582.78
401,10.0
402,163.97
403,302.55
404,312.53
405,199.43
406,444.99
407,59.25
408,271.07
409,331.53
410,422.03
411,467.52
412,48.47
413,10.0
414,598.19
415,382.67
416,136.21
417,662.02
418,334.53
419,577.96
420,324.42
421,780.23
422,710.91
423,253.47
424,532.76
425,458.69
426,624.37
427,91.71
428,469.33
429,554.85
430,10.0
431,43.63
432,10.0
433,253.3
434,479.22
435,658.97
436,333.13
437,688.71
438,10.0
439,10.0
440,305.31
441,406.19
442,311.43
443,10.0
444,299.44
445,22.24
446,473.69
447,404.9
448,106.88
449,204.66
450,80.52
451,308.63
452,541.61
453,98.66
454,439.45
455,203.61
456,144.07
457,301.2
458,89.6
459,200.07
460,53.34
461,776.3
462,335.96
463,168.5
464,377.68
465,303.59
466,279.22
467,470.46
468,503.65
469,209.86
470,199.95
471,269.11
472,10.0
473,10.0
474,645.57
475,709.55
476,277.31
477,466.37
478,406.21
479,1038.93
480,591.77
481,307.23
482,118.6
483,10.0
484,384.28
485,165.46
486,13.78
487,191.44
488,92.52
489,725.48
490,541.91
491,339.13
492,679.5
493,359.53
494,145.54
495,690.71
496,466.32
497,106.69
498,300.62
499,144.51
500,29.1
501,557.04
502,782.11
503,26.84
504,475.41
505,198.61
506,236.41
507,212.82
508,151.22
509,360.13
510,159.67
511,411.74
512,338.92
513,296.26
514,143.96
515,219.98
516,524.77
517,467.09
518,129.77
519,376.24
520,525.66
521,10.0
522,479.03
523,203.97
524,486.15
525,181.88
526,10.0
527,10.0
528,368.59
529,417.38
530,151.91
531,504.84
532,10.0
533,344.75
534,83.64
535,211.84
536,372.03
537,165.09
538,274.25
539,592.44
540,231.21
541,554.37
542,105.82
543,485.39
544,694.13
545,10.0
546,183.65
547,497.98
548,320.21
549,451.84
550,229.52
551,387.73
552,332.84
553,635.63
554,427.42
555,446.88
556,276.11
557,259.25
558,272.28
559,461.66
560,275.82
561,438.65
562,847.03
563,572.36
564,299.32
565,648.67
566,281.47
567,10.0
568,145.3
569,10.0
570,296.2
571,381.16
572,760.39
573,452.54
574,328.25
575,568.23
576,10.0
577,433.48
578,556.21
579,42.76
580,642.29
581,458.78
582,287.03
583,526.91
584,901.55
585,424.8
586,440.41
587,279.21
588,190.45
589,574.74
590,189.93
591,402.3
592,277.28
593,496.27
594,463.53
595,624.78
596,271.69
597,327.0
598,165.5
599,288.05
600,476.2
601,563.39
602,180.23
603,590.01
604,701.5
605,486.7
606,821.46
607,216.38
608,109.26
609,10.0
610,736.28
611,544.44
612,382.7
613,459.81
614,139.18
615,955.49
616,426.72
617,422.64
618,563.9
619,508.44
620,450.15
621,218.86
622,507.61
623,830.3
624,708.17
625,765.22
626,284.91
627,176.07
628,373.86
629,415.78
630,653.47
631,17.3
632,753.83
633,368.75
634,307.78
635,174.53
636,28.14
637,594.71
638,423.85
639,112.85
640,112.14
641,331.74
642,790.19
643,350.05
644,66.4
645,354.11
646,348.4
647,10.0
648,399.2
649,359.29
650,571.55
651,835.35
652,670.77
653,352.42
654,161.51
655,1002.64
656,428.73
657,418.83
658,410.59
659,461.8
660,384.02
661,286.4
662,292.97
663,410.87
664,294.65
665,256.4
666,444.01
667,361.9
668,764.19
669,10.0
670,670.86
671,706.62
672,10.0
673,344.56
674,338.44
675,102.2
676,246.51
677,170.94
678,825.41
679,639.31
680,716.49
681,591.32
682,168.96
683,307.52
684,539.6
685,149.05
686,591.59
687,374.25
688,343.97
689,592.47
690,531.99
691,348.49
692,696.25
693,184.88
694,573.01
695,568.25
696,362.48
697,508.16
698,148.28
699,645.65
700,392.76
701,316.03
702,675.55
703,275.44
704,115.03
705,81.63
706,576.14
707,145.63
708,839.49
709,10.0
710,827.06
711,488.16
712,418.31
713,316.36
714,532.48
715,433.15
716,694.25
717,468.75
718,477.44
719,360.48
720,430.99
721,514.77
722,54.21
723,137.35
724,615.6
725,485.28
726,404.67
727,451.36
728,527.01
729,324.74
730,270.69
731,493.69
732,225.89
733,543.12
734,61.34
735,685.86
736,559.17
737,510.14
738,676.6
739,833.03
740,684.74
741,32.9
742,161.58
743,311.61
744,460.76
745,573.51
746,289.9
747,498.82
748,284.03
749,317.35
750,136.14
751,247.03
752,149.6
753,235.91
754,700.01
755,242.86
756,1061.58
757,573.35
758,503.33
759,265.46
760,621.99
761,330.94
762,490.77
763,1048.21
764,441.85
765,726.8
766,304.06
767,457.16
768,870.14
769,322.82
770,880.56
771,628.64
772,338.9
773,612.33
774,690.48
775,610.8
776,110.48
777,303.53
778,413.55
779,453.55
780,612.79
781,512.05
782,166.84
783,559.21
784,612.29
785,601.14
786,720.61
787,664.66
788,579.5
789,459.02
790,96.05
791,574.1
792,523.85
793,538.89
794,185.62
795,230.78
796,718.8
797,469.61
798,634.79
799,486.02
800,486.8
801,694.8
802,363.01
803,503.31
804,376.19
805,382.99
806,412.07
807,533.9
808,374.23
809,770.93
810,280.12
811,442.26
812,384.94
813,816.42
814,531.2
815,722.48
816,147.82
817,548.66
818,691.34
819,507.35
820,732.41
821,371.27
822,811.87
823,1015.54
824,407.91
825,389.47
826,823.73
827,853.01
828,373.15
829,397.06
830,429.13
831,186.81
832,284.53
833,265.45
834,319.89
835,487.83
836,549.71
837,850.87
838,269.02
839,722.42
840,449.11
841,487.15
842,653.06
843,242.86
844,587.16
845,538.28
846,613.2
847,567.21
848,1062.52
849,356.36
850,381.19
851,360.59
852,376.5
853,358.24
854,775.93
855,829.27
856,374.81
857,315.5
858,613.8
859,380.39
860,651.6
861,553.81
862,161.62
863,861.88
864,919.07
865,369.26
866,421.13
867,575.46
868,587.01
869,661.5
870,970.74
871,471.53
872,330.03
873,197.74
874,346.32
875,506.18
876,924.17
877,396.4
878,566.23
879,511.8
880,787.49
881,1093.74
882,395.62
883,405.54
884,756.34
885,674.03
886,940.59
887,652.55
888,437.52
889,654.99
890,773.79
891,708.39
892,637.29
893,765.53
894,789.43
895,838.51
896,671.4
897,485.47
898,557.62
899,800.18
900,338.37
901,609.67
902,436.04
903,532.92
904,818.87
905,570.91
906,538.31
907,217.49
908,699.08
909,676.51
910,1023.7
911,459.64
912,580.47
913,587.82
914,891.67
915,509.98
916,595.94
917,671.53
918,575.73
919,431.56
920,578.34
921,779.72
922,300.39
923,565.73
924,375.86
925,809.26
926,188.72
927,409.46
928,623.78
929,895.7
930,523.48
931,412.11
932,969.16
933,209.05
934,37.98
935,641.27
936,426.5
937,308.35
938,703.93
939,598.25
940,414.13
941,250.96
942,743.22
943,692.89
944,522.14
945,967.12
946,301.24
947,197.64
948,388.53
949,536.64
950,603.09
951,492.84
952,628.83
953,262.93
954,879.13
955,530.98
956,805.45
957,628.95
958,655.45
959,681.71
960,654.28
961,699.28
962,856.55
963,598.25
964,715.77
965,533.75
966,883.7
967,400.63
968,967.03
969,546.88
970,229.64
971,586.22
972,401.81
973,749.9
974,409.21
975,456.82
976,127.53
977,456.32
978,10.0
979,198.7
980,734.72
981,740.97
982,659.1
983,341.44
984,551.9
985,562.43
986,299.07
987,907.61
988,765.04
989,514.57
990,571.64
991,613.56
992,99.96
993,510.38
994,411.5
995,338.93
996,503.98
997,979.34
998,715.5
999,439.06
1000,700.81
1001,890.14
1002,782.14
1003,584.97
1004,424.01
1005,731.76
1006,662.59
1007,777.66
1008,718.71
1009,813.82
1010,452.22
1011,875.91
1012,620.54
1013,1049.95
1014,418.85
1015,973.34
1016,622.41
1017,428.83
1018,467.55
1019,505.37
1020,675.9
1021,698.89
1022,448.84
1023,574.79
1024,1070.21
1025,975.91
1026,681.38
1027,590.83
1028,610.02
1029,723.21
1030,349.84
1031,525.15
1032,203.21
1033,676.05
1034,733.15
1035,475.36
1036,945.78
1037,306.62
1038,252.56
1039,638.83
1040,827.21
1041,973.15
1042,484.07
1043,835.78
1044,581.0
1045,550.81
1046,792.57
1047,740.18
1048,231.47
1049,929.37
1050,907.79
1051,450.04
1052,683.82
1053,706.71
1054,653.85
1055,469.03
1056,441.77
1057,589.81
1058,864.01
1059,720.74
1060,512.33
1061,773.75
1062,10.0
1063,860.79
1064,201.36
1065,516.45
1066,343.91
1067,304.38
1068,865.79
1069,494.2
1070,680.66
1071,591.23
1072,711.38
1073,620.4
1074,310.2
1075,831.35
1076,491.4
1077,249.04
1078,507.3
1079,948.4
1080,800.24
1081,526.8
1082,527.11
1083,533.87
1084,1082.24
1085,695.5
1086,706.94
1087,844.52
1088,664.15
1089,550.87
1090,565.64
1091,594.59
1092,602.9
1093,778.08
1094,624.17
1095,780.12
1096,594.76
1097,631.61
1098,157.61
1099,823.89
1100,694.16
1101,843.45
1102,10.0
1103,1093.45
1104,584.91
1105,870.42
1106,380.13
1107,758.14
1108,377.94
1109,476.55
1110,1056.77
1111,576.39
1112,670.07
1113,819.62
1114,734.54
1115,656.11
1116,705.58
1117,1171.72
1118,609.94
1119,669.49
1120,864.03
1121,877.01
1122,896.08
1123,771.27
1124,364.68
1125,999.41
1126,364.81
1127,696.29
1128,455.28
1129,613.4
1130,703.61
1131,702.36
1132,725.79
1133,998.51
1134,733.91
1135,574.97
1136,851.45
1137,903.39
1138,351.65
1139,769.03
1140,793.18
1141,565.47
1142,948.18
1143,600.07
1144,663.49
1145,595.71
1146,639.26
1147,385.7
1148,307.62
1149,1001.32
1150,444.01
1151,411.46
1152,146.45
1153,492.88
1154,337.04
1155,1014.87
1156,870.9
1157,483.44
1158,1155.68
1159,865.84
1160,567.79
1161,71.45
1162,1166.27
1163,325.9
1164,267.9
1165,877.86
1166,1202.07
1167,961.39
1168,774.43
1169,781.92
1170,841.47
1171,820.33
1172,711.64
1173,671.66
1174,634.0
1175,476.5
1176,585.08
1177,262.89
1178,627.63
1179,424.7
1180,398.88
1181,692.55
1182,969.91
1183,862.14
1184,294.01
1185,427.17
1186,868.62
1187,429.7
1188,603.28
1189,780.71
1190,434.28
1191,680.02
1192,351.64
1193,519.47
1194,730.36
1195,293.83
1196,758.83
1197,654.16
1198,785.32
1199,710.7
1200,971.64
1201,689.06
1202,562.8
1203,689.29
1204,785.92
1205,673.41
1206,671.97
1207,502.78
1208,512.16
1209,343.62
1210,1064.2
1211,380.79
1212,507.1
1213,501.73
1214,870.75
1215,599.37
1216,952.25
1217,513.79
1218,731.84
1219,477.71
1220,1159.07
1221,398.14
1222,740.68
1223,815.14
1224,765.33
1225,628.92
1226,642.04
1227,682.16
1228,639.02
1229,893.25
1230,1178.5
1231,546.59
1232,361.46
1233,654.68
1234,1264.64
1235,492.15
1236,1050.66
1237,1059.93
1238,550.63
1239,807.54
1240,1050.01
1241,591.84
1242,632.39
1243,546.46
1244,447.98
1245,531.92
1246,401.09
1247,688.94
1248,505.7
1249,735.46
1250,327.05
1251,758.54
1252,873.82
1253,228.38
1254,769.75
1255,965.21
1256,408.85
1257,1067.75
1258,781.83
1259,525.49
1260,674.26
1261,815.0
1262,705.26
1263,811.43
1264,478.47
1265,727.94
1266,366.73
1267,664.74
1268,484.1
1269,523.02
1270,973.89
1271,941.26
1272,831.56
1273,443.31
1274,621.02
1275,970.89
1276,726.58
1277,1224.51
1278,784.95
1279,739.42
1280,625.38
1281,726.96
1282,662.07
1283,859.12
1284,916.36
1285,518.69
1286,394.58
1287,279.66
1288,815.65
1289,447.98
1290,208.67
1291,789.72
1292,1270.93
1293,700.46
1294,893.86
1295,721.44
1296,680.61
1297,913.62
1298,637.79
1299,765.64
1300,778.49
1301,552.82
1302,932.53
1303,666.38
1304,534.15
1305,829.82
1306,502.44
1307,714.59
1308,706.52
1309,957.13
1310,817.95
1311,704.23
1312,897.22
1313,1028.45
1314,838.73
1315,714.12
1316,412.51
1317,469.32
1318,643.37
1319,574.31
1320,671.29
1321,727.39
1322,835.91
1323,699.24
1324,826.94
1325,730.98
1326,265.4
1327,502.56
1328,684.68
1329,441.69
1330,855.56
1331,1068.65
1332,997.83
1333,671.09
1334,1060.86
1335,754.71
1336,644.19
1337,581.52
1338,653.0
1339,633.87
1340,761.93
1341,760.13
1342,724.6
1343,824.17
1344,996.81
1345,942.18
1346,386.47
1347,142.7
1348,940.05
1349,414.78
1350,676.15
1351,460.63
1352,316.73
1353,852.55
1354,902.73
1355,598.04
1356,138.27
1357,605.86
1358,820.61
1359,393.69
1360,773.89
1361,728.95
1362,865.24
1363,760.67
1364,511.5
1365,1007.61
1366,698.48
1367,728.91
1368,522.39
1369,634.78
1370,534.36
1371,697.44
1372,1128.44
1373,424.44
1374,369.68
1375,1074.84
1376,691.38
1377,586.8
1378,977.67
1379,602.2
1380,1158.16
1381,896.32
1382,630.44
1383,1235.19
1384,604.42
1385,912.78
1386,812.07
1387,1041.54
1388,1101.33
1389,752.36
1390,573.38
1391,851.03
1392,591.57
1393,1206.81
1394,778.49
1395,664.29
1396,790.39
1397,440.9
1398,527.13
1399,1023.79
1400,599.93
1401,511.28
1402,873.5
1403,1022.23
1404,916.05
1405,979.8
1406,579.81
1407,428.33
1408,1096.58
1409,680.33
1410,697.2
1411,1058.38
1412,882.47
1413,860.0
1414,1250.9
1415,609.74
1416,969.17
1417,770.67
1418,819.46
1419,1107.73
1420,875.02
1421,882.43
1422,1004.92
1423,676.98
1424,569.08
1425,522.56
1426,312.48
1427,1231.9
1428,510.57
1429,712.5
1430,700.26
1431,834.18
1432,950.76
1433,961.43
1434,632.09
1435,727.57
1436,830.76
1437,709.84
1438,1134.3
1439,879.71
1440,935.88
1441,919.89
1442,1036.98
1443,810.7
1444,473.53
1445,861.56
1446,621.9
1447,650.39
1448,905.56
1449,1054.94
1450,777.36
1451,843.5
1452,1162.28
1453,828.85
1454,1368.66
1455,903.94
1456,372.95
1457,947.75
1458,863.18
1459,1071.2
1460,930.79
1461,745.82
1462,498.21
1463,730.6
1464,584.5
1465,646.63
1466,914.16
1467,1161.64
1468,870.76
1469,507.85
1470,883.07
1471,1055.32
1472,643.09
1473,752.23
1474,786.66
1475,604.44
1476,932.3
1477,757.02
1478,880.94
1479,582.8
1480,686.06
1481,951.48
1482,701.73
1483,1181.88
1484,696.5
1485,839.58
1486,1001.75
1487,465.12
1488,387.34
1489,441.51
1490,1078.94
1491,664.88
1492,1375.83
1493,662.95
1494,834.46
1495,1145.05
1496,1251.5
1497,1264.61
1498,1070.15
1499,1028.5
1500,930.36
1501,973.27
1502,669.98
1503,609.43
1504,796.03
1505,758.37
1506,694.16
1507,957.24
1508,1016.84
1509,819.25
1510,1137.05
1511,539.13
1512,756.16
1513,637.09
1514,374.88
1515,782.86
1516,774.39
1517,1148.4
1518,947.21
1519,569.57
1520,1227.57
1521,1083.4
1522,937.88
1523,753.61
1524,586.61
1525,721.22
1526,1055.43
1527,1237.69
1528,1160.16
1529,696.37
1530,552.72
1531,841.14
1532,405.39
1533,883.68
1534,776.58
1535,704.28
1536,446.89
1537,928.98
1538,690.4
1539,545.28
1540,156.82
1541,807.16
1542,1218.78
1543,1193.87
1544,710.38
1545,677.67
1546,922.79
1547,588.07
1548,885.55
1549,992.06
1550,1097.8
1551,795.07
1552,771.87
1553,618.27
1554,630.4
1555,768.01
1556,904.13
1557,1029.36
1558,637.61
1559,1162.56
1560,760.06
1561,817.57
1562,652.2
1563,269.53
1564,1025.76
1565,992.58
1566,760.43
1567,840.45
1568,943.47
1569,469.08
1570,705.64
1571,1008.4
1572,540.85
1573,894.91
1574,518.38
1575,935.31
1576,821.06
1577,460.67
1578,1096.19
1579,662.73
1580,645.9
1581,877.27
1582,1094.31
1583,600.28
1584,846.89
1585,931.21
1586,992.04
1587,874.46
1588,750.75
1589,645.98
1590,855.18
1591,591.02
1592,169.01
1593,936.58
1594,1043.81
1595,297.93
1596,607.52
1597,980.1
1598,1309.14
1599,844.3
1600,673.69
1601,798.67
1602,1154.99
1603,693.78
1604,659.22
1605,731.97
1606,624.91
1607,871.17
1608,1214.76
1609,917.86
1610,786.85
1611,778.28
1612,488.28
1613,1047.6
1614,828.52
1615,805.52
1616,1576.67
1617,915.9
1618,676.35
1619,751.15
1620,1111.37
1621,875.33
1622,521.32
1623,1060.35
1624,698.16
1625,1279.21
1626,1098.44
1627,749.96
1628,1145.25
1629,868.55
1630,1048.32
1631,964.69
1632,661.05
1633,707.83
1634,1090.6
1635,779.27
1636,763.99
1637,638.45
1638,953.87
1639,1328.74
1640,614.12
1641,863.98
1642,1181.53
1643,841.16
1644,963.15
1645,617.54
1646,958.55
1647,818.4
1648,1086.79
1649,1133.31
1650,1454.09
1651,995.37
1652,937.83
1653,908.26
1654,783.62
1655,942.08
1656,797.71
1657,904.14
1658,1167.11
1659,636.6
1660,1127.41
1661,1168.35
1662,840.93
1663,383.61
1664,729.94
1665,1165.55
1666,864.48
1667,641.86
1668,755.28
1669,1063.09
1670,996.4
1671,817.37
1672,788.6
1673,783.35
1674,662.57
1675,1242.79
1676,800.56
1677,1152.71
1678,1222.65
1679,1103.62
1680,777.4
1681,968.68
1682,871.37
1683,670.9
1684,951.9
1685,608.89
1686,1150.03
1687,773.01
1688,925.56
1689,944.77
1690,821.35
1691,1014.98
1692,772.91
1693,1080.9
1694,574.81
1695,911.62
1696,1326.15
1697,655.12
1698,729.27
1699,1001.95
1700,926.03
1701,965.55
1702,997.66
1703,1031.35
1704,1140.31
1705,980.87
1706,832.58
1707,1041.8
1708,1322.63
1709,858.75
1710,666.87
1711,1142.87
1712,862.9
1713,394.5
1714,1084.9
1715,769.45
1716,871.52
1717,968.49
1718,936.62
1719,1055.63
1720,794.51
1721,1011.67
1722,835.61
1723,1064.13
1724,1036.38
1725,682.55
1726,1144.8
1727,774.71
1728,1082.2
1729,981.96
1730,1318.44
1731,847.9
1732,819.6
1733,895.41
1734,831.04
1735,1083.5
1736,531.95
1737,660.93
1738,658.16
1739,1119.65
1740,1293.79
1741,879.59
1742,865.33
1743,920.35
1744,1170.23
1745,693.39
1746,960.16
1747,1128.94
1748,1021.08
1749,950.36
1750,1136.19
1751,290.39
1752,1063.26
1753,759.42
1754,491.09
1755,1026.54
1756,1224.02
1757,879.25
1758,1128.79
1759,1279.88
1760,1212.4
1761,1287.1
1762,1082.44
1763,930.58
1764,547.83
1765,858.04
1766,722.06
1767,1411.11
1768,875.42
1769,944.2
1770,1042.49
1771,926.91
1772,1304.64
1773,775.6
1774,962.76
1775,749.13
1776,617.64
1777,779.89
1778,911.64
1779,822.47
1780,762.81
1781,600.17
1782,902.91
1783,578.59
1784,1096.44
1785,942.08
1786,590.72
1787,853.51
1788,752.77
1789,997.97
1790,1231.73
1791,497.56
1792,952.68
1793,890.27
1794,1080.67
1795,976.46
1796,756.41
1797,855.76
1798,747.25
1799,1175.37
1800,934.87
1801,1364.78
1802,917.04
1803,769.51
1804,585.99
1805,520.32
1806,570.8
1807,994.18
1808,1049.82
1809,572.82
1810,1138.97
1811,824.59
1812,968.94
1813,1304.17
1814,1141.19
1815,875.4
1816,733.6
1817,446.06
1818,773.81
1819,890.32
1820,713.48
1821,909.46
1822,957.46
1823,888.98
1824,792.31
1825,979.78
1826,1042.66
1827,693.05
1828,1264.93
1829,920.53
1830,947.81
1831,1105.74
1832,997.68
1833,1162.6
1834,1010.89
1835,805.84
1836,1028.79
1837,685.36
1838,971.9
1839,939.96
1840,900.46
1841,919.09
1842,518.99
1843,823.99
1844,971.01
1845,986.77
1846,715.92
1847,1240.3
1848,753.72
1849,1173.53
1850,1050.09
1851,805.32
1852,1358.97
1853,681.16
1854,1164.28
1855,1183.34
1856,801.99
1857,1273.76
1858,898.98
1859,1022.5
1860,1016.47
1861,926.77
1862,1143.13
1863,1139.62
1864,559.34
1865,1257.23
1866,579.9
1867,1196.04
1868,1218.0
1869,711.82
1870,867.65
1871,709.35
1872,913.3
1873,892.48
1874,1141.42
1875,1263.09
1876,1283.05
1877,836.22
1878,917.3
1879,580.96
1880,781.9
1881,1186.87
1882,1335.98
1883,685.36
1884,832.45
1885,962.22
1886,1032.7
1887,784.19
1888,1066.48
1889,861.8
1890,967.2
1891,1095.75
1892,972.87
1893,872.16
1894,947.26
1895,952.56
1896,888.67
1897,914.53
1898,1339.32
1899,1102.69
1900,907.5
1901,1134.67
1902,899.64
1903,1244.35
1904,1061.25
1905,952.74
1906,1079.98
1907,619.28
1908,721.19
1909,706.29
1910,1012.16
1911,1375.75
1912,1490.15
1913,1126.61
1914,1095.72
1915,570.29
1916,858.22
1917,802.68
1918,841.27
1919,945.14
1920,876.15
1921,532.27
1922,1155.76
1923,740.28
1924,1040.46
1925,1460.08
1926,776.66
1927,409.1
1928,922.26
1929,1239.57
1930,1435.89
1931,708.06
1932,1102.87
1933,883.55
1934,966.1
1935,1594.86
1936,647.84
1937,1049.62
1938,1098.95
1939,1240.6
1940,1015.38
1941,1063.83
1942,904.43
1943,1055.83
1944,916.4
1945,1137.25
1946,911.26
1947,1082.3
1948,989.91
1949,1254.3
1950,985.76
1951,592.9
1952,1286.69
1953,791.93
1954,849.95
1955,863.67
1956,1314.19
1957,512.75
1958,1717.93
1959,1242.81
1960,1053.0
1961,989.91
1962,1068.14
1963,1122.4
1964,1151.2
1965,1131.18
1966,1025.16
1967,960.07
1968,971.04
1969,961.52
1970,1265.51
1971,1142.55
1972,335.66
1973,1157.69
1974,1052.79
1975,1004.48
1976,920.44
1977,1266.46
1978,1226.57
1979,833.98
1980,1103.99
1981,789.47
1982,696.72
1983,869.17
1984,1209.82
1985,1230.99
1986,1130.92
1987,1179.8
1988,1132.52
1989,868.5
1990,1114.17
1991,1198.81
1992,1188.72
1993,1288.46
1994,1179.11
1995,1098.04
1996,1262.68
1997,1012.59
1998,817.63
1999,982.3
2000,849.82
2001,866.2
2002,987.88
2003,840.32
2004,951.45
2005,589.65
2006,1071.43
2007,1023.43
2008,836.93
2009,1174.66
2010,1238.69
2011,657.7
2012,851.15
2013,850.14
2014,811.58
2015,1216.25
2016,982.92
2017,967.22
2018,570.31
2019,1173.71
2020,745.89
2021,1043.14
2022,1093.27
2023,1341.2
2024,731.8
2025,341.43
2026,1073.7
2027,1443.48
2028,1315.64
2029,1080.95
2030,921.18
2031,1218.34
2032,811.99
2033,1143.68
2034,1150.78
2035,1277.96
2036,1666.65
2037,1126.3
2038,920.83
2039,1031.71
2040,633.85
2041,879.74
2042,945.4
2043,919.62
2044,1074.61
2045,852.37
2046,1296.8
2047,1041.2
2048,1039.48
2049,967.14
2050,1077.95
2051,1231.45
2052,845.3
2053,893.5
2054,974.91
2055,737.28
2056,858.04
2057,936.86
2058,1245.86
2059,1106.53
2060,1091.23
2061,1241.84
2062,1016.52
2063,1137.55
2064,1025.22
2065,1109.87
2066,916.57
2067,493.0
2068,1019.92
2069,1376.08
2070,1263.1
2071,1272.5
2072,1334.8
2073,1073.1
2074,1098.38
2075,912.65
2076,981.99
2077,1195.32
2078,1330.13
2079,1023.69
2080,953.15
2081,1056.57
2082,1194.25
2083,727.5
2084,533.23
2085,932.48
2086,779.82
2087,943.06
2088,1025.84
2089,956.5
2090,1392.32
2091,1135.6
2092,1130.04
2093,1204.0
2094,802.13
2095,1300.14
2096,1045.89
2097,1216.82
